title,author,link,date,number_of_views
"Overwatch League потеряла пять комментаторов за последний месяц, но Blizzard называет эти перемены эволюцией",Геннадий Воробьев,https://stopgame.ru/newsdata/41505/overwatch_league_poteryala_pyat_kommentatorov_za_posledniy_mesyac_no_blizzard_nazyvaet_eti_peremeny_evolyuciey,"
16 января 2020 ", 241
"Китайская лига по League of Legends перенесла матчи — скорее всего, из-за коронавируса",Руслан Присекин,https://stopgame.ru/newsdata/41628/kitayskaya_liga_po_league_of_legends_perenesla_matchi_skoree_vsego_iz_za_koronavirusa,"
26 января 2020 ", 395
Метаирония от Blizzard: Бригитте в Overwatch дадут скин козла,Геннадий Воробьев,https://stopgame.ru/newsdata/41521/metaironiya_ot_blizzard_brigitte_v_overwatch_dadut_skin_kozla,"
17 января 2020 ", 699
«Величайший игрок в League of Legends» Faker стал совладельцем собственной команды,Геннадий Воробьев,https://stopgame.ru/newsdata/41918/velichayshiy_igrok_v_league_of_legends_faker_stal_sovladelcem_sobstvennoy_komandy,"
18 февраля 2020 ", 2238
Сборная России выиграла чемпионат по PUBG,Руслан Присекин,https://stopgame.ru/newsdata/39459/sbornaya_rossii_vyigrala_chempionat_po_pubg,"
12 августа 2019 ", 194
Всё больше киберспортивных комментаторов Hearthstone высказываются против гонконгского бана,Геннадий Воробьев,https://stopgame.ru/newsdata/40331/vs_bolshe_kibersportivnyh_kommentatorov_hearthstone_vyskazyvayutsya_protiv_gonkongskogo_bana,"
11 октября 2019 ", 126
В сентябре по Apex Legends проведут первый крупный турнир с призовым фондом 500 000 долларов,Геннадий Воробьев,https://stopgame.ru/newsdata/39301/v_sentyabre_po_apex_legends_provedut_pervyy_krupnyy_turnir_s_prizovym_fondom_500_000_dollarov,"
31 июля 2019 ", 987
Российская команда Team Empire стала чемпионом турнира Six Major Raleigh 2019 по Rainbow Six Siege,Руслан Присекин,https://stopgame.ru/newsdata/39557/rossiyskaya_komanda_team_empire_stala_chempionom_turnira_six_major_raleigh_2019_po_rainbow_six_siege,"
19 августа 2019 ", 259
Американские телеканалы сняли с эфира турнир по Apex Legends из-за массовых убийств в США,Руслан Присекин,https://stopgame.ru/newsdata/39446/amerikanskie_telekanaly_snyali_s_efira_turnir_po_apex_legends_iz_za_massovyh_ubiystv_v_ssha,"
9 августа 2019 ", 165
Киберспортивный сбор урожая в Farming Simulator 19 стал жертвой игровой физики,Геннадий Воробьев,https://stopgame.ru/newsdata/39302/kibersportivnyy_sbor_urozhaya_v_farming_simulator_19_stal_zhertvoy_igrovoy_fiziki,"
31 июля 2019 ", 183
Twitch-канал турнира The International по Dota 2 удаляет из чата упоминания площади Тяньаньмэнь,Руслан Присекин,https://stopgame.ru/newsdata/39528/twitch_kanal_turnira_the_international_po_dota_2_udalyaet_iz_chata_upominaniya_ploschadi_tyananmen,"
15 августа 2019 ", 144
В Австралии арестовали шесть человек за договорные матчи по Counter-Strike: Global Offensive,Руслан Присекин,https://stopgame.ru/newsdata/39672/v_avstralii_arestovali_shest_chelovek_za_dogovornye_matchi_po_counter_strike_global_offensive,"
24 августа 2019 ", 265
"Игроки считают, что Riot Games запретила комментаторам турнира по LoL произносить слово «Гонконг». Riot это отрицает [дополнено]",Андрей Маковеев,https://stopgame.ru/newsdata/40336/igroki_schitayut_chto_riot_games_zapretila_kommentatoram_turnira_po_lol_proiznosit_slovo_gonkong_riot_eto_otricaet_dopolneno,"
11 октября 2019 ", 186
